,Names,Price Range,Reviews,Address,Website,Phone Number
0,The Hoxton - Shoreditch,Unclaimed ,188 reviews,81-83 Great Eastern Street London EC2A 3HU United Kingdom,https://www.thehoxton.com,020 7550 1000
1,London Marriott Hotel Park Lane,£££ ,45 reviews,140 Park Lane London W1K 7AA United Kingdom,https://www.marriott.com/hotels/travel/lon…,020 7493 7000
2,Hotel 41,££££ ,29 reviews,41 Buckingham Palace Road London SW1W 0PS United Kingdom,https://www.41hotel.com,020 7300 0041
3,Savoy Hotel,££££ ,95 reviews,Strand London WC2R 0EU United Kingdom,https://www.fairmont.com/savoy-london,020 7836 4343
4,The Ritz London,££££ ,203 reviews,150 Piccadilly London W1J 9BR United Kingdom,https://www.theritzlondon.com,020 7493 8181
5,Claridge's,££££ ,107 reviews,Brook Street London W1K 4HR United Kingdom,https://www.claridges.co.uk,020 7629 8860
6,The Dorchester,££££ ,119 reviews,53 Park Lane London W1K 1QA United Kingdom,https://www.dorchestercollection.com,020 7629 8888
7,Corinthia Hotel London,££££ ,64 reviews,Whitehall Place London London SW1A 2BD United Kingdom,https://www.corinthia.com/London,020 7930 8181
8,The Ned,£££ ,31 reviews,27 Poultry London EC2R 8AJ United Kingdom,https://www.thened.com,020 3828 2000
9,JW Marriott Grosvenor House London,£££ ,107 reviews,86-90 Park Lane London W1K 7TN United Kingdom,https://www.marriott.com/hotels/travel/lon…,020 7499 6363
